line	trial	grain yield
'MT050002'	105_2006_Bozeman05	7059
'MT050002'	4706_2006_Bozeman	7135
'MT050002'	806_2006_Huntley	4110
'MT050002'	DroughtTrial_2006_Dryland	4918
'MT050002'	DroughtTrial_2006_Irrigated	6756
'MT050002'	PYT_2005_Huntley	4114.14
'MT050002'	CAPWUE_2011_Huntley	3610.70
'MT050002'	CAPWUE_2011_HighN_Bozeman	7481.28
'MT050002'	CAPWUE_2011_LowN_Bozeman	7223.68
'MT050002'	CAPWUE_2012_HighN_Bozeman	5939
'MT050002'	CAPWUE_2012_Huntley	3333
'MT050002'	CAPWUE_2012_LowN_Bozeman	1894
'MT050002'	SP2-NormN_2011_Crookston	6250.41
'MT050002'	CAPWUE_2012_NormN-Irr_Aberdeen	6390
'MT050002'	CAPWUE_2012_LowN-Irr_Aberdeen	6123
'MT050002'	CAPWUE_2012_NormN-Dry_Aberdeen	3536
'MT050002'	CAPWUE_2013_LowN_Bozeman	5969.1069
'MT050002'	CAPWUE_2013_HighN_Bozeman	5820.3632
'MT050002'	CAP2Row_Irr_2012_FtCollins	6139.95
'MT050002'	CAP2Row_Dry_2012_FtCollins	2446.78
'MT050002'	CAPWUE_2013_NormN-Irr_Aberdeen	6660.93334100003
'MT050002'	CAPWUE_2013_LowN-Irr_Aberdeen	7173.69939999999
'MT050002'	CAPWUE_2013_NormN-Dry_Aberdeen	3078.68
'MT050025'	105_2006_Bozeman05	6930
'MT050025'	4706_2006_Bozeman	6658
'MT050025'	806_2006_Huntley	3376
'MT050025'	DroughtTrial_2006_Dryland	5931
'MT050025'	DroughtTrial_2006_Irrigated	6327
'MT050025'	PYT_2005_Huntley	3381.78
'MT050026'	105_2006_Bozeman05	6857
'MT050026'	4706_2006_Bozeman	7373
'MT050026'	806_2006_Huntley	3739
'MT050026'	DroughtTrial_2006_Dryland	5877
'MT050026'	DroughtTrial_2006_Irrigated	6805
'MT050026'	PYT_2005_Huntley	3742.575
'MT050027'	105_2006_Bozeman05	6784
'MT050027'	4706_2006_Bozeman	6700
'MT050027'	806_2006_Huntley	3166
'MT050027'	DroughtTrial_2006_Dryland	5378
'MT050027'	DroughtTrial_2006_Irrigated	7113
'MT050027'	PYT_2005_Huntley	3171.765
'MT050029'	105_2006_Bozeman05	6930
'MT050029'	4706_2006_Bozeman	6654
'MT050029'	806_2006_Huntley	3354
'MT050029'	DroughtTrial_2006_Dryland	5409
'MT050029'	DroughtTrial_2006_Irrigated	6658
'MT050029'	PYT_2005_Huntley	3936.435
'MT050030'	105_2006_Bozeman05	7077
'MT050030'	4706_2006_Bozeman	6444
'MT050030'	806_2006_Huntley	3997
'MT050030'	DroughtTrial_2006_Dryland	5588
'MT050030'	DroughtTrial_2006_Irrigated	7533
'MT050030'	PYT_2005_Huntley	3360.24
'MT050031'	105_2006_Bozeman05	6739
'MT050031'	4706_2006_Bozeman	6110
'MT050031'	806_2006_Huntley	3820
'MT050031'	DroughtTrial_2006_Dryland	4991
'MT050031'	DroughtTrial_2006_Irrigated	5941
'MT050031'	PYT_2005_Huntley	4001.055
'MT050032'	105_2006_Bozeman05	6722
'MT050032'	4706_2006_Bozeman	6719
'MT050032'	806_2006_Huntley	3158
'MT050032'	DroughtTrial_2006_Dryland	5226
'MT050032'	DroughtTrial_2006_Irrigated	5943
'MT050032'	PYT_2005_Huntley	3823.35
'MT050033'	105_2006_Bozeman05	6830
'MT050033'	4706_2006_Bozeman	6875
'MT050033'	806_2006_Huntley	3258
'MT050033'	DroughtTrial_2006_Dryland	5949
'MT050033'	DroughtTrial_2006_Irrigated	5892
'MT050033'	PYT_2005_Huntley	3160.995
'MT050034'	105_2006_Bozeman05	6445
'MT050034'	4706_2006_Bozeman	6443
'MT050034'	806_2006_Huntley	3814
'MT050034'	DroughtTrial_2006_Dryland	5010
'MT050034'	DroughtTrial_2006_Irrigated	6147
'MT050034'	PYT_2005_Huntley	3263.31
'MT050035'	105_2006_Bozeman05	6494
'MT050035'	4706_2006_Bozeman	6565
'MT050035'	806_2006_Huntley	3876
'MT050035'	DroughtTrial_2006_Dryland	4682
'MT050035'	DroughtTrial_2006_Irrigated	5522
'MT050035'	PYT_2005_Huntley	3817.965
'MT050035'	CAPWUE_2011_Huntley	2978.92
'MT050035'	CAPWUE_2011_HighN_Bozeman	7670.00
'MT050035'	CAPWUE_2011_LowN_Bozeman	7123.68
'MT050035'	CAPWUE_2012_HighN_Bozeman	3862
'MT050035'	CAPWUE_2012_Huntley	3085
'MT050035'	CAPWUE_2012_LowN_Bozeman	2102
'MT050035'	SP2-NormN_2011_Crookston	5154.91
'MT050035'	CAPWUE_2012_NormN-Irr_Aberdeen	6274
'MT050035'	CAPWUE_2012_LowN-Irr_Aberdeen	5165.99999999997
'MT050035'	CAPWUE_2012_NormN-Dry_Aberdeen	6124
'MT050035'	CAPWUE_2013_LowN_Bozeman	5610.261
'MT050035'	CAPWUE_2013_HighN_Bozeman	5418.7936
'MT050035'	CAPWUE_2013_NormN-Irr_Aberdeen	6577.73287199998
'MT050035'	CAPWUE_2013_LowN-Irr_Aberdeen	6732.97078799997
'MT050035'	CAPWUE_2013_NormN-Dry_Aberdeen	3459.85
'MT050036'	105_2006_Bozeman05	6795
'MT050036'	4706_2006_Bozeman	5840
'MT050036'	806_2006_Huntley	3150
'MT050036'	DroughtTrial_2006_Dryland	4620
'MT050036'	DroughtTrial_2006_Irrigated	6074
'MT050036'	PYT_2005_Huntley	3882.585
'MT050037'	105_2006_Bozeman05	6128
'MT050037'	4706_2006_Bozeman	5980
'MT050037'	806_2006_Huntley	3755
'MT050037'	DroughtTrial_2006_Dryland	4923
'MT050037'	DroughtTrial_2006_Irrigated	6344
'MT050037'	PYT_2005_Huntley	3155.61
'MT050038'	105_2006_Bozeman05	6609
'MT050038'	4706_2006_Bozeman	5999
'MT050038'	806_2006_Huntley	3841
'MT050038'	DroughtTrial_2006_Dryland	5011
'MT050038'	DroughtTrial_2006_Irrigated	6266
'MT050038'	PYT_2005_Huntley	3758.73
'MT050039'	105_2006_Bozeman05	6316
'MT050039'	4706_2006_Bozeman	5785
'MT050039'	806_2006_Huntley	3204
'MT050039'	DroughtTrial_2006_Dryland	4422
'MT050039'	DroughtTrial_2006_Irrigated	5587
'MT050039'	PYT_2005_Huntley	3844.89
'MT050040'	105_2006_Bozeman05	5929
'MT050040'	4706_2006_Bozeman	6328
'MT050040'	806_2006_Huntley	3400
'MT050040'	DroughtTrial_2006_Dryland	4380
'MT050040'	DroughtTrial_2006_Irrigated	4414
'MT050040'	PYT_2005_Huntley	3209.46
'MT050042'	105_2006_Bozeman05	6448
'MT050042'	4706_2006_Bozeman	6830
'MT050042'	806_2006_Huntley	3145
'MT050042'	DroughtTrial_2006_Dryland	5117
'MT050042'	DroughtTrial_2006_Irrigated	5857
'MT050042'	PYT_2005_Huntley	3403.32
'MT050043'	105_2006_Bozeman05	6943
'MT050043'	4706_2006_Bozeman	7074
'MT050043'	806_2006_Huntley	3992
'MT050043'	DroughtTrial_2006_Dryland	4312
'MT050043'	DroughtTrial_2006_Irrigated	6055
'MT050043'	PYT_2005_Huntley	3150.225
'MT050044'	105_2006_Bozeman05	6028
'MT050044'	4706_2006_Bozeman	6272
'MT050044'	806_2006_Huntley	3844
'MT050044'	DroughtTrial_2006_Dryland	5762
'MT050044'	DroughtTrial_2006_Irrigated	5754
'MT050044'	PYT_2005_Huntley	3995.67
'MT050044'	CAPWUE_2011_Huntley	3306.42
'MT050044'	CAPWUE_2011_HighN_Bozeman	7389.36
'MT050044'	CAPWUE_2011_LowN_Bozeman	6125.46
'MT050044'	CAPWUE_2012_HighN_Bozeman	6448
'MT050044'	CAPWUE_2012_Huntley	3598
'MT050044'	CAPWUE_2012_LowN_Bozeman	2115
'MT050044'	SP2-NormN_2011_Crookston	5195.23
'MT050044'	CAPWUE_2012_NormN-Irr_Aberdeen	7948.00000000005
'MT050044'	CAPWUE_2012_LowN-Irr_Aberdeen	8003.99999999997
'MT050044'	CAPWUE_2012_NormN-Dry_Aberdeen	5938
'MT050044'	CAPWUE_2013_LowN_Bozeman	6646.0752
'MT050044'	CAPWUE_2013_HighN_Bozeman	6131.8432
'MT050044'	CAP2Row_Irr_2012_FtCollins	7017.90
'MT050044'	CAP2Row_Dry_2012_FtCollins	2972.53
'MT050044'	CAPWUE_2013_NormN-Irr_Aberdeen	7993.78115400003
'MT050044'	CAPWUE_2013_LowN-Irr_Aberdeen	8021.30181399999
'MT050044'	CAPWUE_2013_NormN-Dry_Aberdeen	2384.76
'MT050045'	105_2006_Bozeman05	6459
'MT050045'	4706_2006_Bozeman	6498
'MT050045'	806_2006_Huntley	3457
'MT050045'	DroughtTrial_2006_Dryland	5571
'MT050045'	DroughtTrial_2006_Irrigated	5733
'MT050045'	PYT_2005_Huntley	3850.275
'MT050047'	105_2006_Bozeman05	6249
'MT050047'	4706_2006_Bozeman	6887
'MT050047'	806_2006_Huntley	3139
'MT050047'	DroughtTrial_2006_Dryland	3547
'MT050047'	DroughtTrial_2006_Irrigated	5936
'MT050047'	PYT_2005_Huntley	3462.555
'MT050048'	105_2006_Bozeman05	6739
'MT050048'	4706_2006_Bozeman	6193
'MT050048'	806_2006_Huntley	3621
'MT050048'	DroughtTrial_2006_Dryland	5520
'MT050048'	DroughtTrial_2006_Irrigated	6512
'MT050048'	PYT_2005_Huntley	3144.84
'MT050049'	105_2006_Bozeman05	6833
'MT050049'	4706_2006_Bozeman	6538
'MT050049'	806_2006_Huntley	3529
'MT050049'	DroughtTrial_2006_Dryland	4954
'MT050049'	DroughtTrial_2006_Irrigated	5466
'MT050049'	PYT_2005_Huntley	3624.105
'MT050050'	105_2006_Bozeman05	6437
'MT050050'	4706_2006_Bozeman	6713
'MT050050'	806_2006_Huntley	3995
'MT050050'	DroughtTrial_2006_Dryland	5021
'MT050050'	DroughtTrial_2006_Irrigated	6067
'MT050050'	PYT_2005_Huntley	3532.56
'MT050051'	105_2006_Bozeman05	6357
'MT050051'	4706_2006_Bozeman	6605
'MT050051'	806_2006_Huntley	3769
'MT050051'	DroughtTrial_2006_Dryland	5276
'MT050051'	DroughtTrial_2006_Irrigated	6541
'MT050051'	PYT_2005_Huntley	4001.055
'MT050051'	CAPWUE_2011_Huntley	2663.25
'MT050051'	CAPWUE_2011_HighN_Bozeman	6387.83
'MT050051'	CAPWUE_2011_LowN_Bozeman	6727.62
'MT050051'	CAPWUE_2012_HighN_Bozeman	7018
'MT050051'	CAPWUE_2012_Huntley	3806
'MT050051'	CAPWUE_2012_LowN_Bozeman	2080
'MT050051'	SP2-NormN_2011_Crookston	4744.93
'MT050051'	CAPWUE_2012_NormN-Irr_Aberdeen	6911.50000000001
'MT050051'	CAPWUE_2012_LowN-Irr_Aberdeen	7277.00000000001
'MT050051'	CAPWUE_2012_NormN-Dry_Aberdeen	4068
'MT050051'	CAPWUE_2013_LowN_Bozeman	7920.4812
'MT050051'	CAPWUE_2013_HighN_Bozeman	9130.1976
'MT050051'	CAP2Row_Irr_2012_FtCollins	6931.16
'MT050051'	CAP2Row_Dry_2012_FtCollins	2224.34
'MT050051'	CAPWUE_2013_NormN-Irr_Aberdeen	6228.89374049999
'MT050051'	CAPWUE_2013_LowN-Irr_Aberdeen	6008.39765500001
'MT050051'	CAPWUE_2013_NormN-Dry_Aberdeen	5043.18
'MT050053'	105_2006_Bozeman05	7115
'MT050053'	4706_2006_Bozeman	6556
'MT050053'	806_2006_Huntley	3949
'MT050053'	DroughtTrial_2006_Dryland	5099
'MT050053'	DroughtTrial_2006_Irrigated	7443
'MT050053'	PYT_2005_Huntley	3774.885
'MT050059'	105_2006_Bozeman05	6542
'MT050059'	4706_2006_Bozeman	6512
'MT050059'	806_2006_Huntley	4048
'MT050059'	DroughtTrial_2006_Dryland	5719
'MT050059'	DroughtTrial_2006_Irrigated	5833
'MT050059'	PYT_2005_Huntley	3952.59
'MT050059'	CAPWUE_2011_Huntley	2923.62
'MT050059'	CAPWUE_2011_HighN_Bozeman	7734.01
'MT050059'	CAPWUE_2011_LowN_Bozeman	6756.47
'MT050059'	CAPWUE_2012_HighN_Bozeman	6377
'MT050059'	CAPWUE_2012_Huntley	4398
'MT050059'	CAPWUE_2012_LowN_Bozeman	1685
'MT050059'	SP2-NormN_2011_Crookston	5914.36
'MT050059'	CAPWUE_2012_NormN-Irr_Aberdeen	7979.50000000002
'MT050059'	CAPWUE_2012_LowN-Irr_Aberdeen	7995.99999999999
'MT050059'	CAPWUE_2012_NormN-Dry_Aberdeen	6539
'MT050059'	CAPWUE_2013_LowN_Bozeman	6259.4415
'MT050059'	CAPWUE_2013_HighN_Bozeman	6483.576
'MT050059'	CAP2Row_Irr_2012_FtCollins	7020.12
'MT050059'	CAP2Row_Dry_2012_FtCollins	2636.26
'MT050059'	CAPWUE_2013_NormN-Irr_Aberdeen	7393.73394250002
'MT050059'	CAPWUE_2013_LowN-Irr_Aberdeen	8278.90934499998
'MT050059'	CAPWUE_2013_NormN-Dry_Aberdeen	4906.35
'MT050062'	105_2006_Bozeman05	6249
'MT050062'	4706_2006_Bozeman	6838
'MT050062'	806_2006_Huntley	3564
'MT050062'	DroughtTrial_2006_Dryland	4426
'MT050062'	DroughtTrial_2006_Irrigated	5867
'MT050062'	PYT_2005_Huntley	3667.185
'MT050068'	105_2006_Bozeman05	6026
'MT050068'	4706_2006_Bozeman	6805
'MT050068'	806_2006_Huntley	3357
'MT050068'	DroughtTrial_2006_Dryland	5328
'MT050068'	DroughtTrial_2006_Irrigated	5425
'MT050068'	PYT_2005_Huntley	4054.905
'MT050068'	CAPWUE_2011_Huntley	3148.64
'MT050068'	CAPWUE_2011_HighN_Bozeman	7094.72
'MT050068'	CAPWUE_2011_LowN_Bozeman	6580.09
'MT050068'	CAPWUE_2012_HighN_Bozeman	6441
'MT050068'	CAPWUE_2012_Huntley	4271
'MT050068'	CAPWUE_2012_LowN_Bozeman	2066
'MT050068'	SP2-NormN_2011_Crookston	5719.46
'MT050068'	CAPWUE_2012_NormN-Irr_Aberdeen	6850.5
'MT050068'	CAPWUE_2012_LowN-Irr_Aberdeen	7284.00000000001
'MT050068'	CAPWUE_2012_NormN-Dry_Aberdeen	2685
'MT050068'	CAPWUE_2013_LowN_Bozeman	6081.6954
'MT050068'	CAPWUE_2013_HighN_Bozeman	6608.168
'MT050068'	CAP2Row_Irr_2012_FtCollins	7050.26
'MT050068'	CAP2Row_Dry_2012_FtCollins	4083.95
'MT050068'	CAPWUE_2013_NormN-Irr_Aberdeen	7917.99373400003
'MT050068'	CAPWUE_2013_LowN-Irr_Aberdeen	7681.462884
'MT050068'	CAPWUE_2013_NormN-Dry_Aberdeen	4554.50
'MT050080'	105_2006_Bozeman05	5652
'MT050080'	4706_2006_Bozeman	6700
'MT050080'	806_2006_Huntley	3726
'MT050080'	DroughtTrial_2006_Dryland	4896
'MT050080'	DroughtTrial_2006_Irrigated	5669
'MT050080'	PYT_2005_Huntley	3570.255
'MT050081'	105_2006_Bozeman05	6308
'MT050081'	4706_2006_Bozeman	6517
'MT050081'	806_2006_Huntley	3354
'MT050081'	DroughtTrial_2006_Dryland	4943
'MT050081'	DroughtTrial_2006_Irrigated	5012
'MT050081'	PYT_2005_Huntley	3360.24
'MT050082'	105_2006_Bozeman05	6254
'MT050082'	4706_2006_Bozeman	6666
'MT050082'	806_2006_Huntley	3263
'MT050082'	DroughtTrial_2006_Dryland	4980
'MT050082'	DroughtTrial_2006_Irrigated	5725
'MT050082'	PYT_2005_Huntley	3731.805
'MT050087'	105_2006_Bozeman05	6160
'MT050087'	4706_2006_Bozeman	6761
'MT050087'	806_2006_Huntley	3519
'MT050087'	DroughtTrial_2006_Dryland	4644
'MT050087'	DroughtTrial_2006_Irrigated	4903
'MT050087'	PYT_2005_Huntley	3360.24
'MT050088'	105_2006_Bozeman05	5775
'MT050088'	4706_2006_Bozeman	6751
'MT050088'	806_2006_Huntley	3567
'MT050088'	DroughtTrial_2006_Dryland	3614
'MT050088'	DroughtTrial_2006_Irrigated	3908
'MT050088'	PYT_2005_Huntley	3268.695
'MT050091'	105_2006_Bozeman05	5593
'MT050091'	4706_2006_Bozeman	6753
'MT050091'	806_2006_Huntley	3790
'MT050091'	DroughtTrial_2006_Dryland	4776
'MT050091'	DroughtTrial_2006_Irrigated	4809
'MT050091'	PYT_2005_Huntley	3521.79
'MT050104'	105_2006_Bozeman05	6491
'MT050104'	4706_2006_Bozeman	7275
'MT050104'	806_2006_Huntley	4003
'MT050104'	DroughtTrial_2006_Dryland	4906
'MT050104'	DroughtTrial_2006_Irrigated	3740
'MT050104'	PYT_2005_Huntley	3570.255
'MT050110'	105_2006_Bozeman05	6144
'MT050110'	4706_2006_Bozeman	6689
'MT050110'	806_2006_Huntley	3909
'MT050110'	DroughtTrial_2006_Dryland	3897
'MT050110'	DroughtTrial_2006_Irrigated	3616
'MT050110'	PYT_2005_Huntley	3796.425
'MT050117'	105_2006_Bozeman05	6593
