line	trial	heading date
'04AB029-22'	PYN-2_2006_Aberdeen	63
'04AB029-22'	PYN-2_2006_SodaSprings	63
'04AB029-22'	PYN-2_2006_Tetonia	62
'04AB029-22'	CAPWUE_2012_NormN-Irr_Aberdeen	172.5
'04AB029-22'	CAPWUE_2012_LowN-Irr_Aberdeen	171.999999999999
'04AB029-22'	CAPWUE_2013_NormN-Irr_Aberdeen	167
'04AB029-22'	CAPWUE_2013_LowN-Irr_Aberdeen	165
'04AB003-59'	PYN-2_2006_Aberdeen	65
'04AB003-59'	PYN-2_2006_SodaSprings	62
'04AB003-59'	PYN-2_2006_Tetonia	68
'04AB098-51'	PYN-2_2006_Aberdeen	63
'04AB098-51'	PYN-2_2006_SodaSprings	62
'04AB098-51'	PYN-2_2006_Tetonia	64
'04AB029-15'	PYN-2_2006_Aberdeen	64
'04AB029-15'	PYN-2_2006_SodaSprings	63
'04AB029-15'	PYN-2_2006_Tetonia	64
'04AB028-73'	PYN-2_2006_Aberdeen	62
'04AB028-73'	PYN-2_2006_SodaSprings	62
'04AB028-73'	PYN-2_2006_Tetonia	67
'04AB075-43'	PYN-2_2006_Aberdeen	61
'04AB075-43'	PYN-2_2006_SodaSprings	60
'04AB075-43'	PYN-2_2006_Tetonia	64
'04AB003-21'	PYN-2_2006_Aberdeen	62
'04AB003-21'	PYN-2_2006_SodaSprings	61
'04AB003-21'	PYN-2_2006_Tetonia	64
'04AB013-79'	PYN-2_2006_Aberdeen	62
'04AB013-79'	PYN-2_2006_SodaSprings	61
'04AB013-79'	PYN-2_2006_Tetonia	63
'04AB013-79'	CAPWUE_2012_NormN-Irr_Aberdeen	170.5
'04AB013-79'	CAPWUE_2012_LowN-Irr_Aberdeen	169.999999999999
'04AB013-79'	CAPWUE_2013_NormN-Irr_Aberdeen	170
'04AB013-79'	CAPWUE_2013_LowN-Irr_Aberdeen	169
'04AB084-67'	PYN-2_2006_Aberdeen	63
'04AB084-67'	PYN-2_2006_SodaSprings	61
'04AB084-67'	PYN-2_2006_Tetonia	64
'04AB029-30'	PYN-2_2006_Aberdeen	61
'04AB029-30'	PYN-2_2006_SodaSprings	61
'04AB029-30'	PYN-2_2006_Tetonia	65
'04AB074-7'	PYN-2_2006_Aberdeen	62
'04AB074-7'	PYN-2_2006_SodaSprings	60
'04AB074-7'	PYN-2_2006_Tetonia	63
'04AB003-10'	PYN-2_2006_Aberdeen	63
'04AB003-10'	PYN-2_2006_SodaSprings	62
'04AB003-10'	PYN-2_2006_Tetonia	65
'04AB029-39'	PYN-2_2006_Aberdeen	62
'04AB029-39'	PYN-2_2006_SodaSprings	61
'04AB029-39'	PYN-2_2006_Tetonia	64
'04AB073-71'	PYN-2_2006_Aberdeen	62
'04AB073-71'	PYN-2_2006_SodaSprings	62
'04AB073-71'	PYN-2_2006_Tetonia	68
'04AB073-79'	PYN-2_2006_Aberdeen	62
'04AB073-79'	PYN-2_2006_SodaSprings	63
'04AB073-79'	PYN-2_2006_Tetonia	66
'04AB073-79'	CAPWUE_2012_NormN-Irr_Aberdeen	171
'04AB073-79'	CAPWUE_2012_LowN-Irr_Aberdeen	168.999999999999
'04AB073-79'	CAPWUE_2013_NormN-Irr_Aberdeen	171
'04AB073-79'	CAPWUE_2013_LowN-Irr_Aberdeen	172
'04AB029-38'	PYN-2_2006_Aberdeen	61
'04AB029-38'	PYN-2_2006_SodaSprings	61
'04AB029-38'	PYN-2_2006_Tetonia	64
'04AB073-63'	PYN-2_2006_Aberdeen	62
'04AB073-63'	PYN-2_2006_SodaSprings	62
'04AB073-63'	PYN-2_2006_Tetonia	65
'04AB098-35'	PYN-2_2006_Aberdeen	63
'04AB098-35'	PYN-2_2006_SodaSprings	63
'04AB098-35'	PYN-2_2006_Tetonia	64
'04AB088-47'	PYN-2_2006_Aberdeen	61
'04AB088-47'	PYN-2_2006_SodaSprings	60
'04AB088-47'	PYN-2_2006_Tetonia	67
'04AB033-71'	PYN-2_2006_Aberdeen	62
'04AB033-71'	PYN-2_2006_SodaSprings	60
'04AB033-71'	PYN-2_2006_Tetonia	63
'04AB029-58'	PYN-2_2006_Aberdeen	62
'04AB029-58'	PYN-2_2006_SodaSprings	62
'04AB029-58'	PYN-2_2006_Tetonia	63
'04AB033-11'	PYN-2_2006_Aberdeen	62
'04AB033-11'	PYN-2_2006_SodaSprings	60
'04AB033-11'	PYN-2_2006_Tetonia	63
'04AB035-59'	PYN-2_2006_Aberdeen	62
'04AB035-59'	PYN-2_2006_SodaSprings	60
'04AB035-59'	PYN-2_2006_Tetonia	62
'04AB028-18'	PYN-2_2006_Aberdeen	62
'04AB028-18'	PYN-2_2006_SodaSprings	60
'04AB028-18'	PYN-2_2006_Tetonia	65
'04AB028-18'	CAPWUE_2012_NormN-Irr_Aberdeen	170.5
'04AB028-18'	CAPWUE_2012_LowN-Irr_Aberdeen	169.999999999999
'04AB028-18'	CAPWUE_2013_NormN-Irr_Aberdeen	167
'04AB028-18'	CAPWUE_2013_LowN-Irr_Aberdeen	165
'04AB013-34'	PYN-2_2006_Aberdeen	62
'04AB013-34'	PYN-2_2006_SodaSprings	61
'04AB013-34'	PYN-2_2006_Tetonia	64
'04AB033-58'	PYN-2_2006_Aberdeen	62
'04AB033-58'	PYN-2_2006_SodaSprings	61
'04AB033-58'	PYN-2_2006_Tetonia	63
'04AB028-23'	PYN-2_2006_Aberdeen	62
'04AB028-23'	PYN-2_2006_SodaSprings	60
'04AB028-23'	PYN-2_2006_Tetonia	67
'04AB013-43'	PYN-2_2006_Aberdeen	62
'04AB013-43'	PYN-2_2006_SodaSprings	61
'04AB013-43'	PYN-2_2006_Tetonia	63
